WORD,,MK,AK,MM,KB,average
chts,x,0,0,0,0,0
chts,x,0,0,0,0,0
chżc,x,0,0,0,0,0
cź,x,0,0,0,0,0
cź,x,0,0,0,0,0
cź,x,0,0,0,0,0
fś,x,0,0,0,0,0
fś,x,0,0,0,0,0
fś,x,0,0,0,0,0
ftś,x,0,0,0,0,0
fts,x,0,0,0,0,0
ftś,x,0,0,0,0,0
fts,x,0,0,0,0,0
ftś,x,0,0,0,0,0
ftsz,x,0,0,0,0,0
ftsz,x,0,0,0,0,0
gjj,x,0,0,0,0,0
gjj,x,0,0,0,0,0
gjj,x,0,0,0,0,0
ktś,x,0,0,0,0,0
ktś,x,0,0,0,0,0
ktś,x,0,0,0,0,0
płc,,0,0,0,0,0
śc,(only before <i>),0,0,0,0,0
stś,x,0,0,0,0,0
sts,x,0,0,0,0,0
stś,x,0,0,0,0,0
stś,x,0,0,0,0,0
tj,x,0,0,0,0,0
tsf,x,0,0,0,0,0
tsm,x,0,0,0,0,0
tsn,x,0,0,0,0,0
tżc,x,0,0,0,0,0
tżc,x,0,0,0,0,0
bź,(only in <bździ>),0,1,0,0,0.25
cch,x,1,0,0,0,0.25
cch,x,1,0,0,0,0.25
cch,x,1,0,0,0,0.25
chf,x,1,0,0,0,0.25
chts,x,0,1,0,0,0.25
chżc,x,1,0,0,0,0.25
chżcz,x,1,0,0,0,0.25
chżt,x,1,0,0,0,0.25
chżt,x,1,0,0,0,0.25
fch,x,1,0,0,0,0.25
fk,x,1,0,0,0,0.25
fp,x,1,0,0,0,0.25
fp,x,1,0,0,0,0.25
fp,x,1,0,0,0,0.25
fs,x,1,0,0,0,0.25
fs,x,1,0,0,0,0.25
fts,x,0,0,1,0,0.25
ftsz,x,1,0,0,0,0.25
gdź,x,0,1,0,0,0.25
jm,x,1,0,0,0,0.25
jm,x,1,0,0,0,0.25
kf,x,1,0,0,0,0.25
kjj,x,0,1,0,0,0.25
kjj,x,0,1,0,0,0.25
kjj,x,0,1,0,0,0.25
kś,x,0,0,0,1,0.25
kś,x,0,1,0,0,0.25
lj,x,1,0,0,0,0.25
łź,x,0,1,0,0,0.25
pś,x,1,0,0,0,0.25
pś,x,0,1,0,0,0.25
rj,x,1,0,0,0,0.25
rj,x,1,0,0,0,0.25
rj,x,1,0,0,0,0.25
śf,x,1,0,0,0,0.25
śf,x,1,0,0,0,0.25
sś,x,1,0,0,0,0.25
sś,x,1,0,0,0,0.25
ssz,x,0,1,0,0,0.25
sts,x,1,0,0,0,0.25
stż,x,1,0,0,0,0.25
szpż,x,1,0,0,0,0.25
szpż,x,1,0,0,0,0.25
tf,,1,0,0,0,0.25
tj,x,1,0,0,0,0.25
tsf,x,0,0,0,1,0.25
tsf,x,0,0,1,0,0.25
tsn,x,0,1,0,0,0.25
tszt,x,0,1,0,0,0.25
tszt,x,1,0,0,0,0.25
tszt,x,1,0,0,0,0.25
tżc,x,1,0,0,0,0.25
tżm,x,1,0,0,0,0.25
wdź,x,0,1,0,0,0.25
wś,(only in <wści>),0,1,0,0,0.25
wś,x,0,0,1,0,0.25
wstż,x,0,1,0,0,0.25
ww,,0,0,1,0,0.25
ww,,0,0,1,0,0.25
wź,x,0,1,0,0,0.25
wź,x,0,1,0,0,0.25
ź,x,0,1,0,0,0.25
zdź,(only in <zdźwi>),0,1,0,0,0.25
bj,x,1,1,0,0,0.5
bj,x,1,1,0,0,0.5
bź,(only in <bździ>),0,1,1,0,0.5
bź,,0,1,1,0,0.5
bż,x,1,1,0,0,0.5
chf,x,1,1,0,0,0.5
chf,x,1,1,0,0,0.5
chj,x,1,1,0,0,0.5
chj,x,1,1,0,0,0.5
chsz,x,1,1,0,0,0.5
chż,x,1,1,0,0,0.5
